################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.3624499176541029E+00 a       221     0    12     1     1
 -7.4015806099099757E-01 a       222     0    12     1     2
 -2.2590484222206617E-01 a       223     0    12     1     3
  8.6388730511455381E-01 a       224     0    12     1     4
 -1.3995060470415632E+00 a       225     0    12     1     5
  1.9851861251868505E-01 a       226     0    12     1     6
  4.9709766554877671E-01 a       227     0    12     1     7
 -1.7038510963187370E-01 a       228     0    12     1     8
  5.1457294851234225E-01 a       229     0    12     1     9
  1.2653342236975449E+00 a       230     0    12     1    10
  2.1579064782011864E-01 a       231     0    12     1    11
 -5.9957995163374056E-01 a       232     0    12     1    12
  1.5359189202365859E-02 a       233     0    12     1    13
 -8.4644683885417138E-01 a       234     0    12     1    14
  1.1680773443494882E-01 a       235     0    12     1    15
 -5.2235641724556003E-01 a       236     0    12     1    16
  7.8392904388527374E-01 a       237     0    12     1    17
 -1.8385808760434037E+00 a       238     0    12     1    18
  4.4952261320575349E-01 a       239     0    12     1    19
 -2.4240759312054841E-01 a       240     0    12     1    20
 -5.3069091163917970E-01 a       241     0    13     1     1
 -4.2646265389642074E-01 a       242     0    13     1     2
 -2.0646610620008690E-01 a       243     0    13     1     3
 -1.7961158388452722E-01 a       244     0    13     1     4
 -5.6662976108381218E-02 a       245     0    13     1     5
 -6.6493348289587673E-01 a       246     0    13     1     6
 -1.0839698107914450E-01 a       247     0    13     1     7
  3.4675244264036165E-01 a       248     0    13     1     8
 -5.4221649722364473E-01 a       249     0    13     1     9
  3.8755428220122318E-01 a       250     0    13     1    10
 -4.6143186551445176E-01 a       251     0    13     1    11
 -2.5845465838229797E-01 a       252     0    13     1    12
  7.9398769481722531E-02 a       253     0    13     1    13
 -2.7953136141077700E-01 a       254     0    13     1    14
 -9.6650522083059742E-02 a       255     0    13     1    15
  2.0457642113751600E-02 a       256     0    13     1    16
 -3.5285738381813903E-01 a       257     0    13     1    17
  4.4919743702268455E-01 a       258     0    13     1    18
  4.4003950159045868E-01 a       259     0    13     1    19
  4.0446112618994290E-01 a       260     0    13     1    20
  1.8140205699873449E-01 a       261     0    14     1     1
 -8.0219885934434632E-01 a       262     0    14     1     2
  1.3995117239070151E-01 a       263     0    14     1     3
 -3.6701682384038653E-01 a       264     0    14     1     4
  2.7434262581034607E-01 a       265     0    14     1     5
  7.2523956513895504E-01 a       266     0    14     1     6
 -5.2845196615553880E-01 a       267     0    14     1     7
 -1.8036919250844525E+00 a       268     0    14     1     8
  6.6709024529612748E-01 a       269     0    14     1     9
 -5.0987058319570910E-01 a       270     0    14     1    10
 -5.8707166855059190E-01 a       271     0    14     1    11
  9.4964975222716153E-01 a       272     0    14     1    12
  3.8364383105248934E-01 a       273     0    14     1    13
  4.5167240874403392E-01 a       274     0    14     1    14
  1.5537415210734542E+00 a       275     0    14     1    15
 -1.0634205230631486E+00 a       276     0    14     1    16
  6.4713593148784521E-01 a       277     0    14     1    17
  2.0814238882031728E+00 a       278     0    14     1    18
  8.5500960648187496E-01 a       279     0    14     1    19
 -3.8284639075789173E-01 a       280     0    14     1    20
 -8.3224082298838112E-02 a       281     0    15     1     1
  2.1291622443025007E-01 a       282     0    15     1     2
 -2.9284930255590604E-03 a       283     0    15     1     3
 -2.1874917473550054E-02 a       284     0    15     1     4
  1.1565723545569993E-01 a       285     0    15     1     5
  3.6766047590331580E-01 a       286     0    15     1     6
 -6.6190617818731173E-02 a       287     0    15     1     7
  9.8107590138491435E-02 a       288     0    15     1     8
 -1.9238068933605978E-01 a       289     0    15     1     9
 -1.0295913056879389E+00 a       290     0    15     1    10
 -5.2732738095033815E-01 a       291     0    15     1    11
  3.8838880092709410E-01 a       292     0    15     1    12
  4.1819604660044685E-01 a       293     0    15     1    13
 -2.8329651309035914E-01 a       294     0    15     1    14
 -2.7590440947225370E-01 a       295     0    15     1    15
 -5.7912208038504538E-03 a       296     0    15     1    16
 -4.3137054586849294E-01 a       297     0    15     1    17
  6.5253287280164649E-02 a       298     0    15     1    18
  7.6240541498527292E-01 a       299     0    15     1    19
 -3.7207178925185230E-01 a       300     0    15     1    20
 -4.0763396694421528E-01 a       301     0    16     1     1
 -3.4609995833735924E-01 a       302     0    16     1     2
 -1.5980121226045172E-02 a       303     0    16     1     3
 -4.2064698329278633E-01 a       304     0    16     1     4
  5.9923134451200821E-01 a       305     0    16     1     5
  2.1177148222798461E-01 a       306     0    16     1     6
  4.0328706665710212E-01 a       307     0    16     1     7
 -6.8967359394527117E-01 a       308     0    16     1     8
  4.0737955054238839E-01 a       309     0    16     1     9
  1.1426605209017870E-01 a       310     0    16     1    10
  7.9036622513210711E-02 a       311     0    16     1    11
 -1.9806103146696014E-03 a       312     0    16     1    12
 -2.1170093951580499E-01 a       313     0    16     1    13
  5.0086076718370653E-01 a       314     0    16     1    14
