# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.707107 2250 400 920.899 0.0459156
0.5 2250 400 897.068 0.0818274
0.25 2250 400 878.761 0.0206098
1 2250 40 950.92 0.071493
0.707107 2250 40 913.698 0.0680615
0.5 2250 40 893.65 0.0506474
0.25 2250 40 0 nan
1 2250 50 949.366 0.0789139
0.707107 2250 50 912.996 0.0318204
0.5 2250 50 893.265 0.0407456
0.25 2250 50 877.825 nan
1 2250 600 967.899 0.120295
0.707107 2250 600 922.075 0.0449354
0.5 2250 600 897.802 0.0524235
0.25 2250 600 878.934 nan
1 2250 75 945.354 0.0514864
0.707107 2250 75 910.746 0.0367308
0.5 2250 75 892.149 0.0128361
0.25 2250 75 877.512 0.00794624
1 2375 100 989.131 0.0510514
0.707107 2375 100 956.575 0.0317576
0.5 2375 100 939.186 0.0160849
0.25 2375 100 925.619 0.00869639
1 2375 250 997.388 0.0898162
0.707107 2375 250 960.32 0.0445215
0.5 2375 250 940.933 0.0184631
0.25 2375 250 926.037 0.0104322
1 2375 400 1002.21 0.451407
0.707107 2375 400 964.471 0.175783
0.5 2375 400 943.718 0.0667415
0.25 2375 400 926.771 0.0439037
1 2375 40 995.02 0.0375239
0.707107 2375 40 959.749 0.033129
0.5 2375 40 940.899 0.0575371
0.25 2375 40 926.074 0.0128713
1 2375 50 993.051 0.0565274
0.707107 2375 50 958.732 0.036524
0.5 2375 50 940.36 0.0277842
0.25 2375 50 925.917 0.0100334
1 2375 600 1010.75 0.113597
0.707107 2375 600 967.561 0.101215
0.5 2375 600 944.774 0.0639694
0.25 2375 600 927.042 0.0177065
1 2375 75 990.06 0.0488729
0.707107 2375 75 957.18 0.0319965
0.5 2375 75 939.518 0.0275512
0.25 2375 75 925.692 0.00578745
1 2500 100 1034.62 0.0571888
0.707107 2500 100 1003.29 0.018735
0.5 2500 100 986.773 0.00704513
0.25 2500 100 973.846 0.0136412
1 2500 125 1034.6 0.0616004
0.707107 2500 125 1003.28 0.0346566
0.5 2500 125 986.762 0.0208222
0.25 2500 125 973.846 0.0056676
1 2500 150 1035.17 0.0405186
0.707107 2500 150 1003.53 0.0602472
0.5 2500 150 986.819 0.033923
0.25 2500 150 973.898 0.00450153
1 2500 175 1036.3 0.0571441
0.707107 2500 175 1003.95 0.00437799
0.5 2500 175 986.995 0.0186381
0.25 2500 175 973.893 0.00691446
1 2500 200 1037.9 0.0754956
0.707107 2500 200 1004.77 0.0354235
0.5 2500 200 987.395 0.0154561
0.25 2500 200 973.983 nan
1 2500 225 1039.65 0.265218
0.707107 2500 225 1005.63 nan
0.5 2500 225 987.8 0.047928
0.25 2500 225 974.106 nan
1 2500 250 1040.86 0.266302
0.707107 2500 250 1005.36 nan
0.5 2500 250 988.254 0.0156416
0.25 2500 250 974.153 nan
1 2500 300 1041.34 0.212656
0.707107 2500 300 1007.24 nan
0.5 2500 300 988.558 0.0357638
0.25 2500 300 974.345 nan
1 2500 350 1043 0.0710375
0.707107 2500 350 1007.48 0.0586531
0.5 2500 350 988.787 0.0230508
0.25 2500 350 974.422 0.018659
1 2500 400 1045.66 0.0672613
0.707107 2500 400 1008.91 0.0924974
0.5 2500 400 989.575 0.0767526
0.25 2500 400 974.509 nan
1 2500 450 0 nan
0.707107 2500 450 1010.08 0.0538566
