# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.25 2875 85 1118.64 0.00867456
1 3000 100 1217.06 0.046293
0.707107 3000 100 1191.05 0.0275329
0.5 3000 100 1177.44 0.0135651
0.25 3000 100 1166.93 0.00844688
1 3000 125 1217.25 0.0518666
0.707107 3000 125 1191.01 0.032632
0.5 3000 125 1177.44 0.0155398
0.25 3000 125 1166.93 0.0048792
1 3000 150 1217.55 0.0522557
0.707107 3000 150 1191.19 0.0224005
0.5 3000 150 1177.5 0.00784782
0.25 3000 150 1166.94 0.00696295
1 3000 30 1222.89 0.0572691
0.707107 3000 30 1194.05 0.0315669
0.5 3000 30 1178.96 0.0232697
0.25 3000 30 1167.29 0.00546181
1 3000 60 1218.87 0.0676238
0.707107 3000 60 1192.06 0.0385351
0.5 3000 60 1177.99 0.0196806
0.25 3000 60 1167.07 0.0073541
1 3000 70 1218.15 0.0578198
0.707107 3000 70 1191.58 0.0244744
0.5 3000 70 1177.7 0.0149314
0.25 3000 70 1166.98 0.0042753
1 3000 85 1217.37 0.0589799
0.707107 3000 85 1191.24 0.0320787
0.5 3000 85 1177.5 0.0133916
0.25 3000 85 1166.97 0.00643831
1 3125 100 1263.46 0.0497195
0.707107 3125 100 1238.32 0.0225283
0.5 3125 100 1225.25 0.0196644
0.25 3125 100 1215.21 0.0072924
1 3125 125 1263.5 0.0527682
0.707107 3125 125 1238.36 0.0270975
0.5 3125 125 1225.28 0.0136178
0.25 3125 125 1215.22 0.00789865
1 3250 100 1309.43 0.0678769
0.707107 3250 100 1285.64 0.0134183
0.5 3250 100 1273.14 0.0155484
0.25 3250 100 1263.54 0.00670679
1 3250 125 1309.61 0.0771502
0.707107 3250 125 1285.66 0.0236901
0.5 3250 125 1273.17 0.0352505
0.25 3250 125 0 nan
1 3250 150 1310.17 0.0915249
0.707107 3250 150 1285.81 0.0328767
0.5 3250 150 1273.27 0.0133602
0.25 3250 150 1263.58 0.00364333
1 3250 70 1310.38 0.0522065
0.707107 3250 70 1286.14 0.0361614
0.5 3250 70 1273.41 0.0144639
0.25 3250 70 1263.61 0.00594
1 3250 85 1309.71 0.0434057
0.707107 3250 85 1285.78 0.0324391
0.5 3250 85 1273.21 0.012368
0.25 3250 85 1263.56 0.00693652
1 3375 100 1356.01 0.0296083
0.707107 3375 100 1333.08 0.026411
0.5 3375 100 1321.06 0.0120583
0.25 3375 100 1311.86 0.00412479
1 3375 125 1356.15 0.0446876
0.707107 3375 125 1333.1 0.0299276
0.5 3375 125 1321.09 0.00922853
0.25 3375 125 1311.86 0.00458034
1 3500 100 1402.78 0.0537311
0.707107 3500 100 1380.55 0.0161008
0.5 3500 100 1369.03 0.0140903
0.25 3500 100 1360.21 0.0082069
1 3500 125 1402.93 0.0445837
0.707107 3500 125 1380.58 0.0253464
0.5 3500 125 1369.04 0.00622145
0.25 3500 125 1360.21 0.0090285
1 3500 150 1403.22 0.0268698
0.707107 3500 150 1380.75 0.0240071
0.5 3500 150 1369.13 0.0152199
0.25 3500 150 1360.23 0.00602542
1 3500 175 1403.78 0.0430705
0.707107 3500 175 1381.23 0.0231035
0.5 3500 175 1369.26 0.0140392
0.25 3500 175 1360.26 0.00330492
1 3500 70 1403.5 0.071611
0.707107 3500 70 1380.92 0.026499
0.5 3500 70 1369.24 0.0115303
0.25 3500 70 1360.27 0.00379772
1 3500 85 1402.87 0.0478619
0.707107 3500 85 1380.67 0.0283162
0.5 3500 85 1369.06 0.0161576
0.25 3500 85 1360.24 0.00672371
1 3625 150 1449.98 0.043087
0.707107 3625 150 1428.29 0.0262666
0.5 3625 150 1417.13 0.0108568
0.25 3625 150 1408.58 0.00511882
1 3625 175 1450.43 0.0438614
0.707107 3625 175 1428.59 0.0374738
0.5 3625 175 1417.25 0.0183669
0.25 3625 175 1408.62 0.00350791
1 3750 100 1496.27 0.0459784
0.707107 3750 100 1475.68 0.0250224
0.5 3750 100 1465.05 0.0118704
0.25 3750 100 1456.91 0.00374918
1 3750 125 1496.36 0.0465916
0.707107 3750 125 1475.74 0.0247881
0.5 3750 125 1465.07 0.0112682
0.25 3750 125 1456.93 0.00443301
1 3750 150 1496.75 0.0418283
0.707107 3750 150 1475.92 0.0186718
0.5 3750 150 1465.16 0.0136604
0.25 3750 150 1456.94 0.00426626
1 3750 175 1497.35 0.0435428
0.707107 3750 175 1476.19 0.0206734
0.5 3750 175 1465.27 0.0166766
0.25 3750 175 1456.98 0.00298764
1 3750 85 1496.52 0.0342732
0.707107 3750 85 1475.8 0.0295833
0.5 3750 85 1465.1 0.00461337
0.25 3750 85 1456.94 0.00616092
1 3875 150 1543.92 0.0768876
0.707107 3875 150 1523.64 0.0224972
0.5 3875 150 1513.24 0.0155265
0.25 3875 150 1505.33 0.00451968
1 3875 175 1544.33 0.0376408
0.707107 3875 175 1523.85 0.0211089
0.5 3875 175 1513.34 0.00918373
0.25 3875 175 1505.35 0.00725964
1 4000 100 1590 0.0314977
0.707107 4000 100 1570.95 0.0160382
0.5 4000 100 1561.18 0.0411542
0.25 4000 100 1553.66 0.00636831
1 4000 125 1590.2 0.0522569
0.707107 4000 125 1571.04 0.0250509
0.5 4000 125 1561.17 0.0229975
0.25 4000 125 1553.66 0.00385234
1 4000 150 1590.58 0.0683431
0.707107 4000 150 1571.22 0.0216971
0.5 4000 150 1561.18 0.069061
0.25 4000 150 1553.68 0.00318647
1 4000 175 1591.51 0.0519924
0.707107 4000 175 1571.7 0.0129588
0.5 4000 175 1561.5 0.013956
0.25 4000 175 1553.74 0.0056051
1 4000 85 1590.21 nan
0.707107 4000 85 1571.07 0.0273802
0.5 4000 85 1561.2 0.0151121
0.25 4000 85 1553.66 0.00547331
1 400 10 390.947 0.151183
0.707107 400 10 306.154 0.0936805
0.5 400 10 247.184 0.0738042
0.25 400 10 184.717 0.0317223
1 400 15 391.095 0.242907
0.707107 400 15 304.922 0.0853766
0.5 400 15 247.235 0.0770561
0.25 400 15 184.528 0.0321905
1 4125 150 1637.66 0.0326799
0.707107 4125 150 1618.99 0.0280423
0.5 4125 150 1609.37 0.0144523
0.25 4125 150 1602.04 0.0058476
1 4250 100 1684.25 0.0252474
0.707107 4250 100 1666.51 0.0246716
0.5 4250 100 1657.37 0.00691748
0.25 4250 100 1650.41 0.00273942
1 4250 125 1684.48 0.0554889
0.707107 4250 125 1666.6 0.0197958
0.5 4250 125 1657.41 0.0149794
0.25 4250 125 1650.42 0.00678198
1 4250 150 1684.86 0.0296605
0.707107 4250 150 1666.77 0.0336977
0.5 4250 150 1657.58 0.0234199
0.25 4250 150 1650.44 0.0057287
1 4250 175 1685.31 0.0404386
0.707107 4250 175 1667.06 0.0330294
0.5 4250 175 1657.61 0.014068
0.25 4250 175 1650.47 0.00254399
1 4250 200 1685.94 0.0481968
0.707107 4250 200 1667.33 0.0331121
0.5 4250 200 1657.79 0.00461449
0.25 4250 200 1650.51 0.00234234
1 4250 85 1684.46 0.0692695
0.707107 4250 85 1666.59 0.0151119
0.5 4250 85 1657.4 0.00731329
0.25 4250 85 1650.41 0.00695307
1 4500 100 1778.74 0.0337717
0.707107 4500 100 1762.18 0.0177018
0.5 4500 100 1753.69 0.0123858
0.25 4500 100 1747.21 0.00224023
1 4500 150 1779.36 0.0439272
0.707107 4500 150 1762.43 0.0248729
0.5 4500 150 1753.82 0.0103526
0.25 4500 150 1747.24 0.00487922
1 4500 200 1780.36 0.03608
0.707107 4500 200 1762.94 0.0351106
