# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 2000 225 858.241 0.0593642
0.707107 2000 225 818.824 0.0506507
0.5 2000 225 797.672 0.0283374
0.25 2000 225 781.205 0.00805466
1 2000 250 859.937 0.100244
0.707107 2000 250 819.517 0.0377739
0.5 2000 250 798.106 0.0362852
0.25 2000 250 781.279 0.011494
1 2000 300 863.715 0.1547
0.707107 2000 300 821.298 0.0961823
0.5 2000 300 799.072 0.0413888
0.25 2000 300 781.581 0.00531671
1 2000 30 866.119 0.0752433
0.707107 2000 30 823.695 0.096914
0.5 2000 30 800.374 0.0298634
0.25 2000 30 781.941 0.0154642
1 2000 350 867.856 0.375736
0.707107 2000 350 823.575 0.154843
0.5 2000 350 800.086 0.0570576
0.25 2000 350 781.808 0.0150116
1 2000 400 871.48 0.361545
0.707107 2000 400 825.422 0.264941
0.5 2000 400 801.1 0.0907937
0.25 2000 400 782.049 0.0200093
1 2000 40 863.311 0.0707525
0.707107 2000 40 822.186 0.0436628
0.5 2000 40 799.666 0.0469557
0.25 2000 40 781.759 0.0148135
1 2000 450 875.048 0.254797
0.707107 2000 450 827.549 0.15153
0.5 2000 450 802.291 0.100132
0.25 2000 450 782.441 0.0212066
1 2000 500 878.709 0.288886
0.707107 2000 500 829.726 0.114864
0.5 2000 500 803.162 0.135946
0.25 2000 500 782.624 0.0139829
1 2000 50 862.088 0.0875419
0.707107 2000 50 821.492 0.0406319
0.5 2000 50 799.269 0.0206146
0.25 2000 50 781.644 0.0159017
1 2000 550 882 0.12551
0.707107 2000 550 831.799 0.171118
0.5 2000 550 804.255 0.0671787
0.25 2000 550 782.882 0.0372969
1 2000 600 885.266 0.183517
0.707107 2000 600 833.344 0.10742
0.5 2000 600 804.963 0.06156
0.25 2000 600 783.086 nan
1 2000 60 859.632 0.0449767
0.707107 2000 60 820.131 0.0369786
0.5 2000 60 798.636 0.0261922
0.25 2000 60 781.468 0.01033
1 2000 700 891.412 0.181994
0.707107 2000 700 836.544 0.10606
0.5 2000 700 807.042 0.160787
0.25 2000 700 783.537 0.0214095
1 2000 75 857.496 0.0939463
0.707107 2000 75 818.956 0.0390769
0.5 2000 75 797.841 nan
0.25 2000 75 781.306 0.00924432
1 2000 800 897.356 0.149234
0.707107 2000 800 839.511 0.065745
0.5 2000 800 808.529 nan
0.25 2000 800 783.961 0.0145414
1 2125 100 899.36 0.0216995
0.707107 2125 100 863.749 0.0365389
0.5 2125 100 844.496 0.0260943
0.25 2125 100 829.287 0.00690946
1 2125 250 903.17 0.0468152
0.707107 2125 250 865.36 0.035556
0.5 2125 250 845.188 0.0402664
0.25 2125 250 829.442 0.0163038
1 2125 400 912.989 0.009564
0.707107 2125 400 870.645 0.0543211
0.5 2125 400 847.82 0.0252221
0.25 2125 400 830.095 0.0113422
1 2125 40 906.696 0.061126
0.707107 2125 40 867.724 0.0666329
0.5 2125 40 846.604 0.0146489
0.25 2125 40 829.848 0.0170012
1 2125 50 904.177 0.0544839
0.707107 2125 50 866.471 0.0404496
0.5 2125 50 845.893 0.0301096
0.25 2125 50 829.63 0.00953916
1 2125 600 926.268 0.224082
0.707107 2125 600 877.491 0.13493
0.5 2125 600 851.43 0.0413676
0.25 2125 600 831.004 0.0117007
1 2125 75 901.107 0.0449415
0.707107 2125 75 864.712 0.0324296
0.5 2125 75 844.99 0.0195317
0.25 2125 75 829.401 0.00621123
1 2250 100 944 0.0721775
0.707107 2250 100 910.111 0.0367628
0.5 2250 100 891.759 0.0262808
0.25 2250 100 877.421 0.00319385
1 2250 125 943.556 0.0543556
0.707107 2250 125 909.712 0.0276245
0.5 2250 125 891.582 0.0125509
0.25 2250 125 877.374 0.00378972
1 2250 150 943.856 0.0484576
0.707107 2250 150 909.748 0.0299596
0.5 2250 150 891.576 0.0155049
0.25 2250 150 877.354 0.00734023
1 2250 200 945.321 0.0612771
0.707107 2250 200 910.412 0.036502
0.5 2250 200 891.893 0.0144273
0.25 2250 200 877.447 0.011614
1 2250 250 947.616 0.0729098
0.707107 2250 250 911.548 0.0419335
0.5 2250 250 892.402 0.00982776
0.25 2250 250 877.562 0.00232969
1 2250 300 950.416 0.0436112
0.707107 2250 300 912.985 0.0471892
0.5 2250 300 893.085 0.0357656
0.25 2250 300 877.74 0.0157798
1 2250 400 956.835 0.0975796
0.707107 2250 400 916.013 0.035121
0.5 2250 400 894.819 0.0205193
0.25 2250 400 878.173 0.0108457
1 2250 40 950.821 0.0445228
0.707107 2250 40 913.771 0.072689
0.5 2250 40 893.761 0.0306073
0.25 2250 40 877.928 0.010375
1 2250 50 949.733 0.0791696
0.707107 2250 50 913.108 0.0683317
0.5 2250 50 893.369 0.0153254
0.25 2250 50 877.846 0.0150594
1 2250 600 969.363 0.134652
0.707107 2250 600 922.665 nan
0.5 2250 600 898.203 nan
0.25 2250 600 879.012 0.0132965
1 2250 75 945.724 0.0637971
0.707107 2250 75 910.961 0.043571
0.5 2250 75 892.294 0.0240038
0.25 2250 75 877.556 0.0107064
1 2375 100 988.933 0.0783333
0.707107 2375 100 956.464 0.0439336
0.5 2375 100 939.176 0.0167712
0.25 2375 100 925.622 0.00576646
1 2375 250 992.158 0.067407
0.707107 2375 250 957.864 0.0372817
0.5 2375 250 939.791 0.0110589
0.25 2375 250 925.758 0.00477419
1 2375 400 1000.71 0.0467272
0.707107 2375 400 962.247 0.0272209
0.5 2375 400 941.958 0.0320563
0.25 2375 400 926.291 0.00408178
1 2375 40 995.097 0.0707761
0.707107 2375 40 959.927 0.034115
0.5 2375 40 940.936 0.0415366
0.25 2375 40 926.078 0.00159571
1 2375 50 993.201 0.0609967
0.707107 2375 50 958.856 0.0536758
0.5 2375 50 940.408 0.0166245
0.25 2375 50 925.92 0.0133232
1 2375 600 1012.74 0.0607152
0.707107 2375 600 968.519 0.0214111
0.5 2375 600 945.191 0.0118845
0.25 2375 600 927.126 0.00234742
1 2375 75 990.34 0.0375209
0.707107 2375 75 957.304 0.032411
0.5 2375 75 939.595 0.0188974
0.25 2375 75 925.729 0.00576119
1 2500 100 1034.25 nan
0.707107 2500 100 1003.16 0.0287341
0.5 2500 100 986.681 0.0184269
0.25 2500 100 973.834 0.00815839
1 2500 125 1033.78 0.0442568
0.707107 2500 125 1003.07 nan
0.5 2500 125 986.549 0.0151286
0.25 2500 125 973.795 0.00379832
1 2500 150 1034 0.0544889
0.707107 2500 150 1002.95 0.0279838
0.5 2500 150 986.537 0.0105881
0.25 2500 150 973.793 0.00642175
1 2500 175 1034.49 0.0366496
0.707107 2500 175 1003.15 0.0275473
0.5 2500 175 986.617 0.0196152
0.25 2500 175 973.818 0.00721928
1 2500 200 1035.3 0.0583328
0.707107 2500 200 1003.5 0.0160376
0.5 2500 200 986.833 0.0122057
0.25 2500 200 973.844 0.00445576
1 2500 225 1036.21 nan
0.707107 2500 225 1003.95 0.047504
0.5 2500 225 987.006 0.0287263
0.25 2500 225 973.896 0.00698146
1 2500 250 1037.4 0.0443046
0.707107 2500 250 1004.46 0.0253329
0.5 2500 250 987.295 0.0116697
0.25 2500 250 973.973 0.0124623
1 2500 300 1039.77 0.0316471
0.707107 2500 300 1005.75 0.0339587
0.5 2500 300 987.872 0.0143574
0.25 2500 300 974.122 nan
1 2500 350 1042.48 0.05711
0.707107 2500 350 1007.13 0.042613
0.5 2500 350 988.613 0.0225543
0.25 2500 350 974.294 0.0056164
1 2500 400 1045.35 0.0498078
0.707107 2500 400 1008.63 0.04189
0.5 2500 400 989.364 0.0295464
0.25 2500 400 974.491 0.00619163
1 2500 450 1048.32 0.0417229
0.707107 2500 450 1010.14 0.071279
0.5 2500 450 990.226 nan
0.25 2500 450 974.7 nan
1 2500 500 1051.18 0.0462373
0.707107 2500 500 1011.62 0.0360107
0.5 2500 500 990.898 0.0371066
0.25 2500 500 974.886 0.0133503
1 2500 50 1038.17 0.0531222
0.707107 2500 50 1005.27 0.0273902
0.5 2500 50 987.772 0.00985188
0.25 2500 50 974.114 0.0071256
1 2500 550 1053.9 0.105706
0.707107 2500 550 1013.18 0.0222602
0.5 2500 550 991.604 0.0059868
0.25 2500 550 975.069 0.00702709
1 2500 600 1056.74 0.0836303
0.707107 2500 600 1014.47 0.00508598
0.5 2500 600 992.381 0.019122
0.25 2500 600 975.237 nan
1 2500 60 1036.65 0.0635339
0.707107 2500 60 1004.47 0.0334494
0.5 2500 60 987.377 0.0226126
0.25 2500 60 974.016 0.0104735
1 2500 700 1062.14 0.121479
0.707107 2500 700 1017.24 0.0543052
0.5 2500 700 993.82 0.0201206
0.25 2500 700 975.64 nan
1 2500 75 1035.5 0.0532325
0.707107 2500 75 1003.86 0.0242082
0.5 2500 75 987.08 0.0152016
0.25 2500 75 973.928 0.00519775
1 2625 100 1079.75 0.0615553
0.707107 2625 100 1049.97 0.0258452
0.5 2625 100 1034.27 0.0144674
0.25 2625 100 1022.07 0.00432417
1 2625 250 1082.7 0.0574935
0.707107 2625 250 1051.3 0.0196418
0.5 2625 250 1034.84 0.0155735
0.25 2625 250 1022.22 0.00594437
1 2625 400 1090.42 0.0603495
0.707107 2625 400 1055.21 0.0263996
0.5 2625 400 1036.85 0.0270326
0.25 2625 400 1022.7 0.00648718
1 2625 50 1083.43 0.0520494
0.707107 2625 50 1051.99 0.0208408
0.5 2625 50 1035.33 0.0196927
0.25 2625 50 1022.35 0.00694945
1 2625 600 1101.21 0.0451129
0.707107 2625 600 1060.86 0.0278146
0.5 2625 600 1039.73 0.0207911
0.25 2625 600 1023.44 0.00856131
1 2625 75 1080.57 0.0464116
0.707107 2625 75 1050.47 0.0281539
0.5 2625 75 1034.56 0.0120077
0.25 2625 75 1022.14 0.00634439
1 2750 100 1125.23 0.0378593
0.707107 2750 100 1096.88 0.0238059
0.5 2750 100 1081.94 0.0174378
0.25 2750 100 1070.33 0.00646017
1 2750 125 1125.07 0.0366122
0.707107 2750 125 1096.7 0.0205414
0.5 2750 125 1081.84 0.0173086
0.25 2750 125 1070.31 0.00499751
1 2750 150 1125.24 0.022427
0.707107 2750 150 1096.75 0.0126898
