# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.5 2000 600 804.949 0.0638201
0.25 2000 600 783.046 0.0157802
1 2000 60 859.677 0.0853325
0.707107 2000 60 820.198 0.042965
0.5 2000 60 798.601 0.0287775
0.25 2000 60 781.475 0.0114106
1 2000 700 891.483 0.129074
0.707107 2000 700 836.334 0.0498509
0.5 2000 700 807.002 0.0750781
0.25 2000 700 783.523 0.0179981
1 2000 75 857.387 0.0922538
0.707107 2000 75 818.988 0.0445521
0.5 2000 75 797.946 0.021474
0.25 2000 75 781.303 0.0118542
1 2000 800 897.764 0.097169
0.707107 2000 800 839.704 nan
0.5 2000 800 808.569 0.114423
0.25 2000 800 783.996 0.00682191
1 2125 100 899.28 0.0611937
0.707107 2125 100 863.785 0.0283813
0.5 2125 100 844.45 0.0164882
0.25 2125 100 829.265 0.0064408
1 2125 250 903.128 0.0356813
0.707107 2125 250 865.287 0.0354607
0.5 2125 250 845.173 0.0168276
0.25 2125 250 829.445 0.00546599
1 2125 400 912.752 0.0504711
0.707107 2125 400 870.415 0.0962641
0.5 2125 400 847.741 0.0490819
0.25 2125 400 830.059 0.0123445
1 2125 40 906.578 0.0596561
0.707107 2125 40 867.62 0.0451513
0.5 2125 40 846.634 0.0313216
0.25 2125 40 829.825 0.0101447
1 2125 50 905.468 0.0521407
0.707107 2125 50 867.117 0.0381194
0.5 2125 50 846.257 0.0242295
0.25 2125 50 829.735 0.0103161
1 2125 600 926.415 0.132159
0.707107 2125 600 877.502 nan
0.5 2125 600 851.379 0.0275094
0.25 2125 600 831.035 0.0107833
1 2125 75 901.259 0.0626778
0.707107 2125 75 864.79 0.041356
0.5 2125 75 845.015 0.0138513
0.25 2125 75 829.416 0.00946569
1 2250 100 944.216 0.0376558
0.707107 2250 100 910.142 0.0338247
0.5 2250 100 891.778 0.0145215
0.25 2250 100 877.369 nan
1 2250 125 943.771 0.0422825
0.707107 2250 125 909.739 0.0298282
0.5 2250 125 891.626 0.0141216
0.25 2250 125 877.384 0.00565788
1 2250 150 943.967 0.0439025
0.707107 2250 150 909.828 0.0398494
0.5 2250 150 891.589 0.0153017
0.25 2250 150 877.369 0.00779537
1 2250 200 945.464 0.0553698
0.707107 2250 200 910.426 0.0306024
0.5 2250 200 891.884 0.0185557
0.25 2250 200 877.437 0.00628522
1 2250 250 947.795 0.0490582
0.707107 2250 250 911.584 0.0335903
0.5 2250 250 892.445 0.0177437
0.25 2250 250 877.587 0.0100971
1 2250 300 950.445 0.0570641
0.707107 2250 300 912.9 0.0490528
0.5 2250 300 893.105 0.00897534
0.25 2250 300 877.75 0.0185824
1 2250 400 956.649 0.0756661
0.707107 2250 400 916.259 0.0309943
0.5 2250 400 894.77 0.0284119
0.25 2250 400 878.148 0.0175345
